,admin1Pcod_1,admin1Name_1,admin1Pcod_2,admin1Name_2,local_date_1,local_date_2,trip_num,tour_num,id_num,tour_traj_distance,trip_traj_distance,time_range,trip_miles/person,miles/person,minutes/trip,minutes/person,trips/person,date_1,date_2,0_14_pct_1,15_64_pct_1,65p_pct_1,M_pct_1,Population_1,0_14_pct_2,15_64_pct_2,65p_pct_2,M_pct_2,Population_2,rwi_1,rwi_pctl_1,rwi_2,rwi_pctl_2,new_cases_1,new_cases_2,first_case,ban_travel,lockdown,lockdown_0,lockdown_1,lockdown_2,lockdown_3,lockdown_4,lockdown_5
22153,ZA7,Gauteng,ZA4,Free State,2020-03-04,2020-03-04,852,821,768,224993571.91904563,70600190.39836933,4215141,57.12099541668949,182.0371406628564,82.45580985915493,91.4744140625,1.109375,20200304,20200304,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,0.28114593899768064,0.6555271573171474,0.06332690368517199,0.4905192097314189,2663702.0,0.6706237180439658,1.0,0.2248492570676798,0.7777777777777778,,,0,0,0,1,0,0,0,0,0
22154,ZA4,Free State,ZA3,Nothern Cape,2020-03-04,2020-03-04,78,74,73,52668090.58472886,12829043.051995153,725380,109.1999695408536,448.3073183492723,154.9957264957265,165.61187214611874,1.0684931506849316,20200304,20200304,0.28114593899768064,0.6555271573171474,0.06332690368517199,0.4905192097314189,2663702.0,0.2905180543789262,0.6449880916225764,0.06449385399849747,0.5008080113808923,1251220.0,0.2248492570676798,0.7777777777777778,0.09958456723393624,0.6666666666666666,,,0,0,0,1,0,0,0,0,0
22155,ZA5,KwaZulu-Natal,ZA5,KwaZulu-Natal,2020-03-04,2020-03-04,84093,32966,17866,6005912693.18758,920079831.8373132,216856034,31.999949740416263,208.88285741852144,42.97940653007186,202.2986249486921,4.706873390798164,20200304,20200304,0.3109682093283005,0.6320226943362347,0.05700909633546477,0.4797594466393526,10418811.0,0.3109682093283005,0.6320226943362347,0.05700909633546477,0.4797594466393526,10418811.0,0.07735186107982292,0.5555555555555556,0.07735186107982292,0.5555555555555556,,,0,0,0,1,0,0,0,0,0
22156,ZA9,Limpopo,ZA9,Limpopo,2020-03-04,2020-03-04,24587,9500,4945,1877100538.980104,269620790.5657361,63678266,33.87959395061759,235.86980785751456,43.16526755331408,214.6217256488035,4.972093023255814,20200304,20200304,0.3322212084583728,0.5982309127294063,0.06954787881222096,0.47107489302560024,5527257.0,0.3322212084583728,0.5982309127294063,0.06954787881222096,0.47107489302560024,5527257.0,-0.020299216875639643,0.3333333333333333,-0.020299216875639643,0.3333333333333333,,,0,0,0,1,0,0,0,0,0
22157,ZA2,Eastern Cape,ZA3,Nothern Cape,2020-03-04,2020-03-04,3,3,3,2500383.9051964334,546101.635601675,20952,113.1106081321903,517.8888427409829,116.4,116.4,1.0,20200304,20200304,0.32240858903092945,0.600977358291188,0.07661405267788246,0.47559015644122027,6510816.0,0.2905180543789262,0.6449880916225764,0.06449385399849747,0.5008080113808923,1251220.0,-0.04666754827373582,0.2222222222222222,0.09958456723393624,0.6666666666666666,,,0,0,0,1,0,0,0,0,0
22158,ZA1,Western Cape,ZA1,Western Cape,2020-03-04,2020-03-05,4023,4023,4023,170457790.07208815,47907665.95922215,144404219,7.399563389110069,26.328004037592496,598.2443408733118,598.2443408733118,1.0,20200304,20200305,0.24146430881004144,0.6902282722160927,0.06830741897386587,0.4994387746892386,6898299.0,0.24146430881004144,0.6902282722160927,0.06830741897386587,0.4994387746892386,6898299.0,0.48495156727992644,0.8888888888888888,0.48495156727992644,0.8888888888888888,,,0,0,0,1,0,0,0,0,0
22159,ZA7,Gauteng,ZA8,Mpumalanga,2020-03-04,2020-03-09,4,4,4,1625742.3011237788,733479.4539502988,1714322,113.94075069567148,252.5473579799873,7143.008333333333,7143.008333333333,1.0,20200304,20200309,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,0.30219785415266165,0.6444398558234767,0.053362290023861565,0.4955341209781855,4547481.0,0.6706237180439658,1.0,0.0523010419666447,0.4444444444444444,,0.0,0,0,0,1,0,0,0,0,0
22160,ZA1,Western Cape,ZA1,Western Cape,2020-03-04,2020-03-04,192587,75514,41223,13374596203.585075,1892076951.9202209,472725765,28.520052189783577,201.6007759919118,40.91014840046317,191.12540935885303,4.671833685078719,20200304,20200304,0.24146430881004144,0.6902282722160927,0.06830741897386587,0.4994387746892386,6898299.0,0.24146430881004144,0.6902282722160927,0.06830741897386587,0.4994387746892386,6898299.0,0.48495156727992644,0.8888888888888888,0.48495156727992644,0.8888888888888888,,,0,0,0,1,0,0,0,0,0
22161,ZA7,Gauteng,ZA4,Free State,2020-03-04,2020-03-19,1,1,1,406611.7946475794,406611.7946475794,1364123,252.6568556179284,252.6568556179284,22735.38333333333,22735.38333333333,1.0,20200304,20200319,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,0.28114593899768064,0.6555271573171474,0.06332690368517199,0.4905192097314189,2663702.0,0.6706237180439658,1.0,0.2248492570676798,0.7777777777777778,,0.0,0,0,0,1,0,0,0,0,0
22162,ZA8,Mpumalanga,ZA8,Mpumalanga,2020-03-04,2020-03-04,34384,13161,7064,2465883932.0705247,364674839.05723417,80962341,32.07792178991385,216.9067438830049,39.24419352024197,191.02100084937717,4.867497168742922,20200304,20200304,0.30219785415266165,0.6444398558234767,0.053362290023861565,0.4955341209781855,4547481.0,0.30219785415266165,0.6444398558234767,0.053362290023861565,0.4955341209781855,4547481.0,0.0523010419666447,0.4444444444444444,0.0523010419666447,0.4444444444444444,,,0,0,0,1,0,0,0,0,0
