,admin1Pcod_1,admin1Name_1,admin1Pcod_2,admin1Name_2,local_date_1,local_date_2,trip_num,tour_num,id_num,tour_traj_distance,trip_traj_distance,time_range,date_1,date_2,0_14_pct_1,15_64_pct_1,65p_pct_1,M_pct_1,Population_1,0_14_pct_2,15_64_pct_2,65p_pct_2,M_pct_2,Population_2,rwi_1,rwi_pctl_1,rwi_2,rwi_pctl_2,new_cases_1,new_cases_2,first_case,ban_travel,lockdown,lockdown_0,lockdown_1,lockdown_2,lockdown_3,lockdown_4,lockdown_5
28750,ZA8,Mpumalanga,ZA8,Mpumalanga,2020-03-26,2020-03-28,3,3,3,569714.4373082233,248365.61049373585,451696,20200326,20200328,0.30219785415266165,0.6444398558234767,0.053362290023861565,0.4955341209781855,4547481.0,0.30219785415266165,0.6444398558234767,0.053362290023861565,0.4955341209781855,4547481.0,0.0523010419666447,0.4444444444444444,0.0523010419666447,0.4444444444444444,1.0,,1,1,0,1,0,0,0,0,0
28751,ZA3,Nothern Cape,ZA3,Nothern Cape,2020-03-26,2020-03-27,180,180,180,10437055.318516484,1827159.491192882,8617407,20200326,20200327,0.2905180543789262,0.6449880916225764,0.06449385399849747,0.5008080113808923,1251220.0,0.2905180543789262,0.6449880916225764,0.06449385399849747,0.5008080113808923,1251220.0,0.09958456723393624,0.6666666666666666,0.09958456723393624,0.6666666666666666,0.0,,1,1,0,1,0,0,0,0,0
28752,ZA7,Gauteng,ZA6,North West,2020-03-26,2020-03-27,14,14,14,1520187.1427241336,700723.1518296788,653278,20200326,20200327,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,0.2828745421867569,0.6531826641385288,0.0639427936747143,0.5169154144355026,3885864.0,0.6706237180439658,1.0,-0.04677388157695324,0.1111111111111111,90.0,,1,1,0,1,0,0,0,0,0
28753,ZA4,Free State,ZA4,Free State,2020-03-26,2020-03-27,321,321,321,6707584.317847163,2328569.533962346,16487043,20200326,20200327,0.28114593899768064,0.6555271573171474,0.06332690368517199,0.4905192097314189,2663702.0,0.28114593899768064,0.6555271573171474,0.06332690368517199,0.4905192097314189,2663702.0,0.2248492570676798,0.7777777777777778,0.2248492570676798,0.7777777777777778,19.0,,1,1,0,1,0,0,0,0,0
28754,ZA9,Limpopo,ZA7,Gauteng,2020-03-26,2020-03-26,49,49,49,26012743.631205533,11955297.54682188,876309,20200326,20200326,0.3322212084583728,0.5982309127294063,0.06954787881222096,0.47107489302560024,5527257.0,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,-0.020299216875639643,0.3333333333333333,0.6706237180439658,1.0,2.0,90.0,1,1,0,1,0,0,0,0,0
28755,ZA5,KwaZulu-Natal,ZA2,Eastern Cape,2020-03-26,2020-03-26,14,14,14,5205519.135658388,3120924.205746054,266411,20200326,20200326,0.3109682093283005,0.6320226943362347,0.05700909633546477,0.4797594466393526,10418811.0,0.32240858903092945,0.600977358291188,0.07661405267788246,0.47559015644122027,6510816.0,0.07735186107982292,0.5555555555555556,-0.04666754827373582,0.2222222222222222,43.0,3.0,1,1,0,1,0,0,0,0,0
28756,ZA6,North West,ZA6,North West,2020-03-26,2020-03-27,362,362,361,8359060.904086353,2597554.866182589,17719148,20200326,20200327,0.2828745421867569,0.6531826641385288,0.0639427936747143,0.5169154144355026,3885864.0,0.2828745421867569,0.6531826641385288,0.0639427936747143,0.5169154144355026,3885864.0,-0.04677388157695324,0.1111111111111111,-0.04677388157695324,0.1111111111111111,0.0,,1,1,0,1,0,0,0,0,0
28757,ZA1,Western Cape,,,2020-03-26,2020-03-26,2,2,2,5153.109358945436,1762.4392969401606,22433,20200326,20200326,0.24146430881004144,0.6902282722160927,0.06830741897386587,0.4994387746892386,6898299.0,,,,,,0.48495156727992644,0.8888888888888888,,,46.0,,1,1,0,1,0,0,0,0,0
28758,ZA6,North West,ZA6,North West,2020-03-26,2020-03-26,4339,1770,1108,210585053.60523048,35855683.89579336,19268565,20200326,20200326,0.2828745421867569,0.6531826641385288,0.0639427936747143,0.5169154144355026,3885864.0,0.2828745421867569,0.6531826641385288,0.0639427936747143,0.5169154144355026,3885864.0,-0.04677388157695324,0.1111111111111111,-0.04677388157695324,0.1111111111111111,0.0,0.0,1,1,0,1,0,0,0,0,0
28759,ZA7,Gauteng,ZA2,Eastern Cape,2020-03-26,2020-03-26,4,4,3,5234700.306420709,3544614.98822314,49308,20200326,20200326,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,0.32240858903092945,0.600977358291188,0.07661405267788246,0.47559015644122027,6510816.0,0.6706237180439658,1.0,-0.04666754827373582,0.2222222222222222,90.0,3.0,1,1,0,1,0,0,0,0,0
