,admin1Pcod_1,admin1Name_1,admin1Pcod_2,admin1Name_2,local_date_1,local_date_2,trip_num,tour_num,id_num,tour_traj_distance,trip_traj_distance,time_range,date_1,date_2,0_14_pct_1,15_64_pct_1,65p_pct_1,M_pct_1,Population_1,0_14_pct_2,15_64_pct_2,65p_pct_2,M_pct_2,Population_2,rwi_1,rwi_pctl_1,rwi_2,rwi_pctl_2,new_cases_1,new_cases_2,first_case,ban_travel,lockdown,lockdown_0,lockdown_1,lockdown_2,lockdown_3,lockdown_4,lockdown_5
54542,ZA1,Western Cape,ZA1,Western Cape,2020-07-13,2020-07-14,5162,5162,5162,135800634.57040337,51689349.143832825,197289095,20200713,20200714,0.24146430881004144,0.6902282722160927,0.06830741897386587,0.4994387746892386,6898299.0,0.24146430881004144,0.6902282722160927,0.06830741897386587,0.4994387746892386,6898299.0,0.48495156727992644,0.8888888888888888,0.48495156727992644,0.8888888888888888,945.0,855.0,1,1,3,0,0,0,1,0,0
54543,ZA6,North West,ZA5,KwaZulu-Natal,2020-07-13,2020-07-13,3,3,3,3380230.173627643,1794622.3656350735,74806,20200713,20200713,0.2828745421867569,0.6531826641385288,0.0639427936747143,0.5169154144355026,3885864.0,0.3109682093283005,0.6320226943362347,0.05700909633546477,0.4797594466393526,10418811.0,-0.04677388157695324,0.1111111111111111,0.07735186107982292,0.5555555555555556,601.0,1815.0,1,1,3,0,0,0,1,0,0
54544,ZA8,Mpumalanga,ZA7,Gauteng,2020-07-13,2020-07-18,2,2,2,599896.6812284625,420940.747149851,847698,20200713,20200718,0.30219785415266165,0.6444398558234767,0.053362290023861565,0.4955341209781855,4547481.0,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,0.0523010419666447,0.4444444444444444,0.6706237180439658,1.0,322.0,5196.0,1,1,3,0,0,0,1,0,0
54545,ZA9,Limpopo,ZA8,Mpumalanga,2020-07-13,2020-07-13,106,104,103,28651072.135334995,11086418.925531918,1293927,20200713,20200713,0.3322212084583728,0.5982309127294063,0.06954787881222096,0.47107489302560024,5527257.0,0.30219785415266165,0.6444398558234767,0.053362290023861565,0.4955341209781855,4547481.0,-0.020299216875639643,0.3333333333333333,0.0523010419666447,0.4444444444444444,302.0,322.0,1,1,3,0,0,0,1,0,0
54546,ZA1,Western Cape,ZA2,Eastern Cape,2020-07-13,2020-07-13,75,75,72,90069290.52557978,46953614.9108473,1434884,20200713,20200713,0.24146430881004144,0.6902282722160927,0.06830741897386587,0.4994387746892386,6898299.0,0.32240858903092945,0.600977358291188,0.07661405267788246,0.47559015644122027,6510816.0,0.48495156727992644,0.8888888888888888,-0.04666754827373582,0.2222222222222222,945.0,1758.0,1,1,3,0,0,0,1,0,0
54547,ZA7,Gauteng,ZA2,Eastern Cape,2020-07-13,2020-07-13,7,7,7,13713731.234682702,6610094.157386455,164975,20200713,20200713,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,0.32240858903092945,0.600977358291188,0.07661405267788246,0.47559015644122027,6510816.0,0.6706237180439658,1.0,-0.04666754827373582,0.2222222222222222,5282.0,1758.0,1,1,3,0,0,0,1,0,0
54548,ZA7,Gauteng,ZA2,Eastern Cape,2020-07-13,2020-07-17,1,1,1,1984257.038658972,974212.566683635,333978,20200713,20200717,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,0.32240858903092945,0.600977358291188,0.07661405267788246,0.47559015644122027,6510816.0,0.6706237180439658,1.0,-0.04666754827373582,0.2222222222222222,5282.0,1674.0,1,1,3,0,0,0,1,0,0
54549,ZA3,Nothern Cape,ZA6,North West,2020-07-13,2020-07-13,24,24,23,7753231.574658852,2701480.5128278527,350713,20200713,20200713,0.2905180543789262,0.6449880916225764,0.06449385399849747,0.5008080113808923,1251220.0,0.2828745421867569,0.6531826641385288,0.0639427936747143,0.5169154144355026,3885864.0,0.09958456723393624,0.6666666666666666,-0.04677388157695324,0.1111111111111111,121.0,601.0,1,1,3,0,0,0,1,0,0
54550,ZA1,Western Cape,ZA2,Eastern Cape,2020-07-13,2020-07-18,1,1,1,1806888.1333427816,1805477.877189288,411648,20200713,20200718,0.24146430881004144,0.6902282722160927,0.06830741897386587,0.4994387746892386,6898299.0,0.32240858903092945,0.600977358291188,0.07661405267788246,0.47559015644122027,6510816.0,0.48495156727992644,0.8888888888888888,-0.04666754827373582,0.2222222222222222,945.0,2116.0,1,1,3,0,0,0,1,0,0
54551,ZA3,Nothern Cape,ZA3,Nothern Cape,2020-07-13,2020-07-13,5022,2267,1538,385546920.25392085,72289664.73861694,25137039,20200713,20200713,0.2905180543789262,0.6449880916225764,0.06449385399849747,0.5008080113808923,1251220.0,0.2905180543789262,0.6449880916225764,0.06449385399849747,0.5008080113808923,1251220.0,0.09958456723393624,0.6666666666666666,0.09958456723393624,0.6666666666666666,121.0,121.0,1,1,3,0,0,0,1,0,0
54552,ZA4,Free State,ZA5,KwaZulu-Natal,2020-07-13,2020-07-13,14,14,14,12892777.544651492,4247567.517894343,279223,20200713,20200713,0.28114593899768064,0.6555271573171474,0.06332690368517199,0.4905192097314189,2663702.0,0.3109682093283005,0.6320226943362347,0.05700909633546477,0.4797594466393526,10418811.0,0.2248492570676798,0.7777777777777778,0.07735186107982292,0.5555555555555556,408.0,1815.0,1,1,3,0,0,0,1,0,0
54554,ZA7,Gauteng,ZA7,Gauteng,2020-07-13,2020-07-13,129188,61790,44696,5125263247.122105,1424467233.0136251,595473612,20200713,20200713,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,0.6706237180439658,1.0,0.6706237180439658,1.0,5282.0,5282.0,1,1,3,0,0,0,1,0,0
