,admin1Pcod_1,admin1Name_1,admin1Pcod_2,admin1Name_2,local_date_1,local_date_2,trip_num,tour_num,id_num,tour_traj_distance,trip_traj_distance,time_range,date_1,date_2,0_14_pct_1,15_64_pct_1,65p_pct_1,M_pct_1,Population_1,0_14_pct_2,15_64_pct_2,65p_pct_2,M_pct_2,Population_2,rwi_1,rwi_pctl_1,rwi_2,rwi_pctl_2,new_cases_1,new_cases_2,first_case,ban_travel,lockdown,lockdown_0,lockdown_1,lockdown_2,lockdown_3,lockdown_4,lockdown_5
105774,ZA8,Mpumalanga,ZA8,Mpumalanga,2020-12-15,2020-12-16,1318,1318,1318,55160682.585301824,17928347.883277144,57079948,20201215,20201216,0.30219785415266165,0.6444398558234767,0.053362290023861565,0.4955341209781855,4547481.0,0.30219785415266165,0.6444398558234767,0.053362290023861565,0.4955341209781855,4547481.0,0.0523010419666447,0.4444444444444444,0.0523010419666447,0.4444444444444444,67.0,145.0,1,1,1,0,1,0,0,0,0
105775,ZA9,Limpopo,ZA7,Gauteng,2020-12-15,2020-12-15,143,142,142,84714659.69714631,36083550.71689198,3138261,20201215,20201215,0.3322212084583728,0.5982309127294063,0.06954787881222096,0.47107489302560024,5527257.0,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,-0.020299216875639643,0.3333333333333333,0.6706237180439658,1.0,58.0,1278.0,1,1,1,0,1,0,0,0,0
105776,ZA5,KwaZulu-Natal,ZA8,Mpumalanga,2020-12-15,2020-12-15,16,16,16,8267556.12596306,4950002.119740559,270908,20201215,20201215,0.3109682093283005,0.6320226943362347,0.05700909633546477,0.4797594466393526,10418811.0,0.30219785415266165,0.6444398558234767,0.053362290023861565,0.4955341209781855,4547481.0,0.07735186107982292,0.5555555555555556,0.0523010419666447,0.4444444444444444,1152.0,67.0,1,1,1,0,1,0,0,0,0
105777,ZA7,Gauteng,ZA5,KwaZulu-Natal,2020-12-15,2020-12-26,1,1,1,710126.8413675833,491704.864367884,965353,20201215,20201226,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,0.3109682093283005,0.6320226943362347,0.05700909633546477,0.4797594466393526,10418811.0,0.6706237180439658,1.0,0.07735186107982292,0.5555555555555556,1278.0,4119.0,1,1,1,0,1,0,0,0,0
105778,ZA2,Eastern Cape,ZA2,Eastern Cape,2020-12-15,2020-12-23,1,1,1,159548.24643043813,159276.14999648515,757779,20201215,20201223,0.32240858903092945,0.600977358291188,0.07661405267788246,0.47559015644122027,6510816.0,0.32240858903092945,0.600977358291188,0.07661405267788246,0.47559015644122027,6510816.0,-0.04666754827373582,0.2222222222222222,-0.04666754827373582,0.2222222222222222,1956.0,1266.0,1,1,1,0,1,0,0,0,0
105780,ZA5,KwaZulu-Natal,,,2020-12-15,2020-12-15,27,27,22,3954493.335395544,876363.8168592858,182683,20201215,20201215,0.3109682093283005,0.6320226943362347,0.05700909633546477,0.4797594466393526,10418811.0,,,,,,0.07735186107982292,0.5555555555555556,,,1152.0,,1,1,1,0,1,0,0,0,0
105781,ZA7,Gauteng,ZA6,North West,2020-12-15,2020-12-15,616,613,600,124272785.92355168,51841812.07135909,8241550,20201215,20201215,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,0.2828745421867569,0.6531826641385288,0.0639427936747143,0.5169154144355026,3885864.0,0.6706237180439658,1.0,-0.04677388157695324,0.1111111111111111,1278.0,152.0,1,1,1,0,1,0,0,0,0
105782,ZA4,Free State,ZA3,Nothern Cape,2020-12-15,2020-12-16,9,9,9,6687709.823985044,2220870.4631631626,406814,20201215,20201216,0.28114593899768064,0.6555271573171474,0.06332690368517199,0.4905192097314189,2663702.0,0.2905180543789262,0.6449880916225764,0.06449385399849747,0.5008080113808923,1251220.0,0.2248492570676798,0.7777777777777778,0.09958456723393624,0.6666666666666666,67.0,55.0,1,1,1,0,1,0,0,0,0
105783,ZA4,Free State,ZA1,Western Cape,2020-12-15,2020-12-23,1,1,1,943720.8387482312,943720.8387482312,639733,20201215,20201223,0.28114593899768064,0.6555271573171474,0.06332690368517199,0.4905192097314189,2663702.0,0.24146430881004144,0.6902282722160927,0.06830741897386587,0.4994387746892386,6898299.0,0.2248492570676798,0.7777777777777778,0.48495156727992644,0.8888888888888888,67.0,3914.0,1,1,1,0,1,0,0,0,0
105784,ZA1,Western Cape,ZA7,Gauteng,2020-12-15,2020-12-16,24,24,24,48892898.467405945,30428412.527663656,1146318,20201215,20201216,0.24146430881004144,0.6902282722160927,0.06830741897386587,0.4994387746892386,6898299.0,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,0.48495156727992644,0.8888888888888888,0.6706237180439658,1.0,2786.0,1787.0,1,1,1,0,1,0,0,0,0
