,admin1Pcod_1,admin1Name_1,admin1Pcod_2,admin1Name_2,local_date_1,local_date_2,trip_num,tour_num,id_num,tour_traj_distance,trip_traj_distance,time_range,date_1,date_2,0_14_pct_1,15_64_pct_1,65p_pct_1,M_pct_1,Population_1,0_14_pct_2,15_64_pct_2,65p_pct_2,M_pct_2,Population_2,rwi_1,rwi_pctl_1,rwi_2,rwi_pctl_2,new_cases_1,new_cases_2,first_case,ban_travel,lockdown,lockdown_0,lockdown_1,lockdown_2,lockdown_3,lockdown_4,lockdown_5
72972,ZA1,Western Cape,ZA2,Eastern Cape,2020-09-10,2020-09-16,1,1,1,1310035.2215045148,655064.4766672312,511318,20200910,20200916,0.24146430881004144,0.6902282722160927,0.06830741897386587,0.4994387746892386,6898299.0,0.32240858903092945,0.600977358291188,0.07661405267788246,0.47559015644122027,6510816.0,0.48495156727992644,0.8888888888888888,-0.04666754827373582,0.2222222222222222,243.0,150.0,1,1,2,0,0,1,0,0,0
72973,ZA1,Western Cape,ZA4,Free State,2020-09-10,2020-09-10,11,11,11,28880835.18049684,7836890.021754102,499800,20200910,20200910,0.24146430881004144,0.6902282722160927,0.06830741897386587,0.4994387746892386,6898299.0,0.28114593899768064,0.6555271573171474,0.06332690368517199,0.4905192097314189,2663702.0,0.48495156727992644,0.8888888888888888,0.2248492570676798,0.7777777777777778,243.0,376.0,1,1,2,0,0,1,0,0,0
72974,ZA5,KwaZulu-Natal,ZA4,Free State,2020-09-10,2020-09-10,21,21,20,13014344.477432,5292653.073179137,319732,20200910,20200910,0.3109682093283005,0.6320226943362347,0.05700909633546477,0.4797594466393526,10418811.0,0.28114593899768064,0.6555271573171474,0.06332690368517199,0.4905192097314189,2663702.0,0.07735186107982292,0.5555555555555556,0.2248492570676798,0.7777777777777778,286.0,376.0,1,1,2,0,0,1,0,0,0
72975,ZA7,Gauteng,ZA3,Nothern Cape,2020-09-10,2020-09-10,14,13,13,30140355.91976352,9563583.484071132,546077,20200910,20200910,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,0.2905180543789262,0.6449880916225764,0.06449385399849747,0.5008080113808923,1251220.0,0.6706237180439658,1.0,0.09958456723393624,0.6666666666666666,411.0,223.0,1,1,2,0,0,1,0,0,0
72976,ZA6,North West,ZA3,Nothern Cape,2020-09-10,2020-09-10,21,21,21,10072444.541848132,2786619.4723419133,299192,20200910,20200910,0.2828745421867569,0.6531826641385288,0.0639427936747143,0.5169154144355026,3885864.0,0.2905180543789262,0.6449880916225764,0.06449385399849747,0.5008080113808923,1251220.0,-0.04677388157695324,0.1111111111111111,0.09958456723393624,0.6666666666666666,187.0,223.0,1,1,2,0,0,1,0,0,0
72977,ZA7,Gauteng,ZA8,Mpumalanga,2020-09-10,2020-09-10,434,434,434,134985329.3712934,59022971.664591104,8462709,20200910,20200910,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,0.30219785415266165,0.6444398558234767,0.053362290023861565,0.4955341209781855,4547481.0,0.6706237180439658,1.0,0.0523010419666447,0.4444444444444444,411.0,114.0,1,1,2,0,0,1,0,0,0
72978,ZA8,Mpumalanga,ZA8,Mpumalanga,2020-09-10,2020-09-19,2,2,2,386475.8942884715,194394.4321669633,1579700,20200910,20200919,0.30219785415266165,0.6444398558234767,0.053362290023861565,0.4955341209781855,4547481.0,0.30219785415266165,0.6444398558234767,0.053362290023861565,0.4955341209781855,4547481.0,0.0523010419666447,0.4444444444444444,0.0523010419666447,0.4444444444444444,114.0,127.0,1,1,2,0,0,1,0,0,0
72979,ZA8,Mpumalanga,ZA9,Limpopo,2020-09-10,2020-09-10,111,110,110,32080721.52586658,11281552.589380523,1822228,20200910,20200910,0.30219785415266165,0.6444398558234767,0.053362290023861565,0.4955341209781855,4547481.0,0.3322212084583728,0.5982309127294063,0.06954787881222096,0.47107489302560024,5527257.0,0.0523010419666447,0.4444444444444444,-0.020299216875639643,0.3333333333333333,114.0,79.0,1,1,2,0,0,1,0,0,0
72980,ZA1,Western Cape,ZA1,Western Cape,2020-09-10,2020-09-11,4405,4405,4405,129526579.09877376,46291790.72189955,200326790,20200910,20200911,0.24146430881004144,0.6902282722160927,0.06830741897386587,0.4994387746892386,6898299.0,0.24146430881004144,0.6902282722160927,0.06830741897386587,0.4994387746892386,6898299.0,0.48495156727992644,0.8888888888888888,0.48495156727992644,0.8888888888888888,243.0,181.0,1,1,2,0,0,1,0,0,0
72981,ZA7,Gauteng,ZA7,Gauteng,2020-09-10,2020-09-18,1,1,1,234342.8782472105,109610.1206921934,674653,20200910,20200918,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,0.6706237180439658,1.0,0.6706237180439658,1.0,411.0,449.0,1,1,2,0,0,1,0,0,0
