,admin1Pcod_1,admin1Name_1,admin1Pcod_2,admin1Name_2,local_date_1,local_date_2,trip_num,tour_num,id_num,tour_traj_distance,trip_traj_distance,time_range,date_1,date_2,0_14_pct_1,15_64_pct_1,65p_pct_1,M_pct_1,Population_1,0_14_pct_2,15_64_pct_2,65p_pct_2,M_pct_2,Population_2,rwi_1,rwi_pctl_1,rwi_2,rwi_pctl_2,new_cases_1,new_cases_2,first_case,ban_travel,lockdown,lockdown_0,lockdown_1,lockdown_2,lockdown_3,lockdown_4,lockdown_5
66965,ZA7,Gauteng,ZA8,Mpumalanga,2020-08-22,2020-08-22,496,495,490,148949896.0984096,66525893.83430623,7349803,20200822,20200822,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,0.30219785415266165,0.6444398558234767,0.053362290023861565,0.4955341209781855,4547481.0,0.6706237180439658,1.0,0.0523010419666447,0.4444444444444444,1414.0,201.0,1,1,2,0,0,1,0,0,0
66966,ZA7,Gauteng,ZA4,Free State,2020-08-22,2020-08-22,513,498,483,125700459.56111594,52019192.49773103,5643249,20200822,20200822,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,0.28114593899768064,0.6555271573171474,0.06332690368517199,0.4905192097314189,2663702.0,0.6706237180439658,1.0,0.2248492570676798,0.7777777777777778,1414.0,485.0,1,1,2,0,0,1,0,0,0
66967,ZA7,Gauteng,ZA9,Limpopo,2020-08-22,2020-08-22,199,199,197,79207315.09000413,39684136.624556206,3991021,20200822,20200822,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,0.3322212084583728,0.5982309127294063,0.06954787881222096,0.47107489302560024,5527257.0,0.6706237180439658,1.0,-0.020299216875639643,0.3333333333333333,1414.0,108.0,1,1,2,0,0,1,0,0,0
66968,ZA6,North West,ZA6,North West,2020-08-22,2020-08-25,2,2,2,2249124.961087971,1318926.5808335035,453175,20200822,20200825,0.2828745421867569,0.6531826641385288,0.0639427936747143,0.5169154144355026,3885864.0,0.2828745421867569,0.6531826641385288,0.0639427936747143,0.5169154144355026,3885864.0,-0.04677388157695324,0.1111111111111111,-0.04677388157695324,0.1111111111111111,182.0,74.0,1,1,2,0,0,1,0,0,0
66969,ZA7,Gauteng,ZA2,Eastern Cape,2020-08-22,2020-08-22,18,18,18,29220442.89096354,16008118.147576576,492588,20200822,20200822,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,0.32240858903092945,0.600977358291188,0.07661405267788246,0.47559015644122027,6510816.0,0.6706237180439658,1.0,-0.04666754827373582,0.2222222222222222,1414.0,252.0,1,1,2,0,0,1,0,0,0
66970,ZA5,KwaZulu-Natal,ZA8,Mpumalanga,2020-08-22,2020-08-22,26,26,26,10729115.20325832,4170721.5509844976,497935,20200822,20200822,0.3109682093283005,0.6320226943362347,0.05700909633546477,0.4797594466393526,10418811.0,0.30219785415266165,0.6444398558234767,0.053362290023861565,0.4955341209781855,4547481.0,0.07735186107982292,0.5555555555555556,0.0523010419666447,0.4444444444444444,544.0,201.0,1,1,2,0,0,1,0,0,0
66971,ZA2,Eastern Cape,ZA5,KwaZulu-Natal,2020-08-22,2020-08-22,39,39,37,12780022.531782009,5099980.913954406,525233,20200822,20200822,0.32240858903092945,0.600977358291188,0.07661405267788246,0.47559015644122027,6510816.0,0.3109682093283005,0.6320226943362347,0.05700909633546477,0.4797594466393526,10418811.0,-0.04666754827373582,0.2222222222222222,0.07735186107982292,0.5555555555555556,252.0,544.0,1,1,2,0,0,1,0,0,0
66972,ZA1,Western Cape,ZA1,Western Cape,2020-08-22,2020-08-24,9,9,9,8031215.941866257,3490861.995477478,1461698,20200822,20200824,0.24146430881004144,0.6902282722160927,0.06830741897386587,0.4994387746892386,6898299.0,0.24146430881004144,0.6902282722160927,0.06830741897386587,0.4994387746892386,6898299.0,0.48495156727992644,0.8888888888888888,0.48495156727992644,0.8888888888888888,343.0,79.0,1,1,2,0,0,1,0,0,0
66973,ZA7,Gauteng,ZA1,Western Cape,2020-08-22,2020-08-22,32,32,32,67823617.2986575,41443801.27874729,909806,20200822,20200822,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,0.24146430881004144,0.6902282722160927,0.06830741897386587,0.4994387746892386,6898299.0,0.6706237180439658,1.0,0.48495156727992644,0.8888888888888888,1414.0,343.0,1,1,2,0,0,1,0,0,0
66974,ZA7,Gauteng,ZA6,North West,2020-08-22,2020-08-22,1126,1111,1091,204041334.8828264,88179885.71978128,13546724,20200822,20200822,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,0.2828745421867569,0.6531826641385288,0.0639427936747143,0.5169154144355026,3885864.0,0.6706237180439658,1.0,-0.04677388157695324,0.1111111111111111,1414.0,182.0,1,1,2,0,0,1,0,0,0
66975,ZA1,Western Cape,ZA1,Western Cape,2020-08-22,2020-08-23,3690,3690,3690,158612461.8483717,46399608.25547862,144854414,20200822,20200823,0.24146430881004144,0.6902282722160927,0.06830741897386587,0.4994387746892386,6898299.0,0.24146430881004144,0.6902282722160927,0.06830741897386587,0.4994387746892386,6898299.0,0.48495156727992644,0.8888888888888888,0.48495156727992644,0.8888888888888888,343.0,303.0,1,1,2,0,0,1,0,0,0
66976,ZA4,Free State,ZA3,Nothern Cape,2020-08-22,2020-08-22,54,53,50,19386733.80226781,7320520.564426566,796653,20200822,20200822,0.28114593899768064,0.6555271573171474,0.06332690368517199,0.4905192097314189,2663702.0,0.2905180543789262,0.6449880916225764,0.06449385399849747,0.5008080113808923,1251220.0,0.2248492570676798,0.7777777777777778,0.09958456723393624,0.6666666666666666,485.0,178.0,1,1,2,0,0,1,0,0,0
66977,ZA6,North West,ZA7,Gauteng,2020-08-22,2020-08-23,129,129,129,20159898.8013418,9487318.52265498,3975770,20200822,20200823,0.2828745421867569,0.6531826641385288,0.0639427936747143,0.5169154144355026,3885864.0,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,-0.04677388157695324,0.1111111111111111,0.6706237180439658,1.0,182.0,772.0,1,1,2,0,0,1,0,0,0
66978,ZA6,North West,ZA7,Gauteng,2020-08-22,2020-08-22,915,906,888,159695808.15206137,68587256.96676312,10738055,20200822,20200822,0.2828745421867569,0.6531826641385288,0.0639427936747143,0.5169154144355026,3885864.0,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,-0.04677388157695324,0.1111111111111111,0.6706237180439658,1.0,182.0,1414.0,1,1,2,0,0,1,0,0,0
